twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam,gameid
.395,.400,19,12,9,10,28,.889,98,9,240,Los Angeles Lakers,52f2f66190a4948418328831
.475,.316,23,10,2,9,35,.758,107,4,265,New Jersey Nets,52f2f66290a4948418328832
.521,.400,18,20,9,5,26,.960,110,10,240,New York Knicks,52f2f66390a4948418328833
.439,.435,25,15,7,15,30,.769,116,8,265,Washington Wizards,52f2f66390a4948418328834
.449,.417,25,10,5,7,26,.609,89,11,240,Boston Celtics,52f2f66490a4948418328835
.480,.480,22,15,11,8,30,.750,99,7,240,New York Knicks,52f2f66590a4948418328836
.421,.286,20,12,4,4,36,.684,83,2,240,Cleveland Cavaliers,52f2f66690a4948418328837
.484,.500,26,15,6,7,36,.765,111,3,240,Houston Rockets,52f2f66690a4948418328838
.523,.200,18,6,4,10,33,.765,105,9,240,Memphis Grizzlies,52f2f66790a4948418328839
.398,.313,18,13,3,14,31,.806,113,8,265,San Antonio Spurs,52f2f66890a494841832883a
.444,.333,23,12,2,13,36,.882,111,7,240,Dallas Mavericks,52f2f66990a494841832883b
.514,.316,24,12,2,9,33,.667,104,5,240,Orlando Magic,52f2f66990a494841832883c
.481,.316,25,15,7,18,39,.630,123,8,290,Chicago Bulls,52f2f66a90a494841832883d
.481,.429,24,12,5,10,31,.778,106,9,240,Toronto Raptors,52f2f66b90a494841832883e
.488,.429,27,11,3,8,30,1.000,105,11,240,Utah Jazz,52f2f66c90a494841832883f
.477,.389,23,14,6,16,33,.926,116,6,240,Atlanta Hawks,52f2f66c90a4948418328840
.507,.154,19,17,4,10,35,.778,100,5,240,Los Angeles Clippers,52f2f66d90a4948418328841
.539,.308,33,11,8,8,27,.800,110,10,240,Boston Celtics,52f2f66e90a4948418328842
.459,.353,26,11,6,9,37,.750,99,8,240,Charlotte Bobcats,52f2f66f90a4948418328843
.468,.333,23,19,7,6,35,.800,98,4,240,Denver Nuggets,52f2f66f90a4948418328844
.562,.500,28,15,4,7,29,.824,103,5,240,Detroit Pistons,52f2f67090a4948418328845
.389,.211,14,12,6,16,41,.878,110,7,265,Oklahoma City Thunder,52f2f67190a4948418328846
.525,.533,24,12,11,6,27,.828,116,8,240,Memphis Grizzlies,52f2f67290a4948418328847
.449,.375,19,9,3,12,27,.793,99,7,240,Miami Heat,52f2f67290a4948418328848
.556,.452,26,13,3,4,29,.607,111,7,240,Orlando Magic,52f2f67390a4948418328849
.476,.480,26,6,4,9,28,.788,116,9,240,Phoenix Suns,52f2f67490a494841832884a
.515,.571,21,16,2,11,37,.700,97,5,240,New Orleans Hornets,52f2f67490a494841832884b
.527,.313,28,14,3,10,29,.645,103,9,240,Dallas Mavericks,52f2f67590a494841832884c
.494,.412,24,10,3,6,36,.895,102,4,240,Utah Jazz,52f2f67690a494841832884d
.422,.348,21,14,9,11,35,.636,92,8,240,Cleveland Cavaliers,52f2f67790a494841832884e
.460,.412,25,11,3,13,33,.864,106,8,240,Dallas Mavericks,52f2f67890a494841832884f
.458,.385,25,12,2,9,23,.824,104,7,240,Milwaukee Bucks,52f2f67890a4948418328850
.506,.667,26,10,3,6,26,.706,104,16,240,Golden State Warriors,52f2f67990a4948418328851
.438,.385,22,6,2,11,33,.786,99,6,240,Atlanta Hawks,52f2f67a90a4948418328852
.512,.385,29,5,5,10,35,.611,102,4,240,Philadelphia 76ers,52f2f67b90a4948418328853
.429,.273,23,12,5,10,34,.818,96,8,240,Chicago Bulls,52f2f67b90a4948418328854
.462,.381,19,13,4,10,28,.741,100,5,240,Orlando Magic,52f2f67c90a4948418328855
.518,.533,28,10,7,15,34,.692,138,5,240,Denver Nuggets,52f2f67d90a4948418328856
.466,.395,31,18,3,13,35,.824,125,7,290,New York Knicks,52f2f67e90a4948418328857
.452,.588,26,11,5,16,28,.650,99,5,240,Houston Rockets,52f2f67e90a4948418328858
.586,.381,34,10,8,4,24,.760,109,8,240,Utah Jazz,52f2f67f90a4948418328859
.432,.174,26,14,6,15,33,.789,95,7,240,Indiana Pacers,52f2f68190a494841832885a
.525,.500,22,16,5,3,30,.829,98,5,240,New Jersey Nets,52f2f68290a494841832885b
.488,.360,25,10,5,11,31,.800,109,7,240,San Antonio Spurs,52f2f68290a494841832885c
.468,.444,24,10,5,7,37,.700,96,6,240,Atlanta Hawks,52f2f68390a494841832885d
.494,.375,23,15,5,9,38,.895,101,4,240,Dallas Mavericks,52f2f68490a494841832885e
.459,.333,15,15,6,9,36,.786,105,6,240,Miami Heat,52f2f68590a494841832885f
.378,.350,17,18,9,16,40,.897,95,10,240,Oklahoma City Thunder,52f2f68590a4948418328860
.548,.294,28,18,10,16,32,.857,109,8,240,Utah Jazz,52f2f68690a4948418328861
.506,.385,29,13,8,8,41,.565,106,7,240,Boston Celtics,52f2f68790a4948418328862
.462,.333,31,11,3,13,37,.871,118,13,240,San Antonio Spurs,52f2f68890a4948418328863
.488,.667,16,6,11,5,24,.750,98,4,240,Memphis Grizzlies,52f2f68890a4948418328864
.513,.211,21,12,6,8,34,.862,111,6,240,New York Knicks,52f2f68990a4948418328865
.466,.417,20,13,3,10,31,.667,90,7,240,Orlando Magic,52f2f68a90a4948418328866
.470,.429,22,13,2,6,34,.769,88,9,240,Philadelphia 76ers,52f2f68b90a4948418328867
.456,.316,22,12,6,6,35,.853,107,8,240,Indiana Pacers,52f2f68b90a4948418328868
.532,.583,33,11,4,8,20,.808,112,6,240,Atlanta Hawks,52f2f68c90a4948418328869
.571,.429,23,17,3,3,27,.808,99,4,240,Boston Celtics,52f2f68d90a494841832886a
.487,.476,15,19,6,14,30,.958,107,5,240,Orlando Magic,52f2f68e90a494841832886b
.414,.417,21,14,1,11,39,.783,100,12,240,Dallas Mavericks,52f2f68e90a494841832886c
.453,.286,19,16,6,7,38,.756,105,5,240,Denver Nuggets,52f2f68f90a494841832886d
.506,.455,27,13,5,8,29,.905,109,5,240,Houston Rockets,52f2f69090a494841832886e
.493,.318,24,19,9,12,38,.500,90,5,240,Los Angeles Clippers,52f2f69190a494841832886f
.513,.500,23,10,4,10,35,.619,97,10,240,Miami Heat,52f2f69190a4948418328870
.426,.417,19,13,5,12,38,.780,123,10,315,Oklahoma City Thunder,52f2f69290a4948418328871
.468,.333,25,11,8,10,32,.647,89,7,240,New Orleans Hornets,52f2f69390a4948418328872
.580,.545,28,11,7,14,38,.704,127,6,240,Toronto Raptors,52f2f69490a4948418328873
.459,.320,29,7,6,19,27,.800,110,11,240,Utah Jazz,52f2f69490a4948418328874
.566,.417,30,9,5,9,34,.667,118,7,240,Miami Heat,52f2f69590a4948418328875
.548,.333,25,16,3,4,33,.955,107,4,240,Phoenix Suns,52f2f69690a4948418328876
.418,.333,25,9,3,8,36,.821,93,9,240,Atlanta Hawks,52f2f69690a4948418328877
.531,.111,29,9,4,8,36,.773,104,7,240,Boston Celtics,52f2f69790a4948418328878
.360,.467,21,22,11,17,45,.688,91,3,265,Charlotte Bobcats,52f2f69890a4948418328879
.403,.417,17,19,11,10,32,.763,109,11,240,Denver Nuggets,52f2f69990a494841832887a
.597,.318,24,12,4,7,28,.733,104,5,240,Orlando Magic,52f2f69990a494841832887b
.566,.214,27,10,8,7,32,.727,113,10,240,Los Angeles Lakers,52f2f69a90a494841832887c
.595,.696,26,12,3,6,26,.885,127,9,240,Houston Rockets,52f2f69b90a494841832887d
.470,.433,27,14,4,6,33,.750,100,8,240,New York Knicks,52f2f69c90a494841832887e
.449,.500,25,14,3,7,27,.727,105,14,240,Phoenix Suns,52f2f69c90a494841832887f
